date	count
2025-01-01	0
2025-01-02	59
2025-01-03	91
2025-01-06	104
2025-01-07	105
2025-01-08	106
2025-01-09	0
2025-01-10	127
2025-01-13	109
2025-01-14	110
2025-01-15	168
2025-01-16	157
2025-01-17	222
2025-01-20	0
2025-01-21	118
2025-01-22	64
2025-01-23	73
2025-01-24	59
2025-01-27	37
2025-01-28	76
2025-01-29	65
2025-01-30	66
2025-01-31	78
2025-02-03	60
2025-02-04	54
2025-02-05	36
2025-02-06	37
2025-02-07	47
2025-02-10	46
2025-02-11	49
2025-02-12	54
2025-02-13	44
2025-02-14	56
2025-02-17	0
2025-02-18	62
2025-02-19	53
2025-02-20	55
2025-02-21	40
2025-02-24	60
2025-02-25	40
2025-02-26	53
2025-02-27	46
2025-02-28	135
2025-03-03	53
2025-03-04	72
2025-03-05	75
2025-03-06	61
2025-03-07	81
2025-03-10	52
2025-03-11	82
2025-03-12	46
2025-03-13	104
2025-03-14	70
2025-03-17	108
2025-03-18	104
2025-03-19	136
2025-03-20	111
2025-03-21	78
2025-03-24	58
2025-03-25	62
2025-03-26	86
2025-03-27	76
2025-03-28	109
2025-03-31	90
2025-04-01	52
2025-04-02	95
2025-04-03	94
2025-04-04	87
2025-04-07	61
2025-04-08	59
2025-04-09	69
2025-04-10	49
2025-04-11	79
2025-04-14	72
2025-04-15	67
2025-04-16	77
2025-04-17	89
2025-04-18	120
2025-04-21	78
2025-04-22	61
2025-04-23	117
2025-04-24	52
2025-04-25	89
2025-04-28	91
2025-04-29	56
2025-04-30	94
2025-05-01	88
2025-05-02	79
2025-05-05	98
2025-05-06	90
2025-05-07	79
2025-05-08	91
2025-05-09	117
2025-05-12	90
2025-05-13	86
2025-05-14	101
2025-05-15	82
2025-05-16	160
2025-05-19	95
2025-05-20	106
2025-05-21	92
2025-05-22	75
2025-05-23	94
2025-05-26	0
2025-05-27	116
2025-05-28	75
2025-05-29	113
2025-05-30	122
2025-06-02	113
2025-06-03	103
2025-06-04	86
2025-06-05	70
2025-06-06	92
2025-06-09	62
2025-06-10	79
2025-06-11	103
2025-06-12	80
2025-06-13	107
2025-06-16	160
2025-06-17	111
2025-06-18	93
2025-06-19	0
2025-06-20	112
2025-06-23	102
2025-06-24	78
2025-06-25	78
2025-06-26	90
2025-06-27	125
2025-06-30	76
2025-07-01	274
2025-07-02	87
2025-07-03	120
2025-07-04	0
2025-07-07	94
2025-07-08	79
2025-07-09	67
2025-07-10	116
2025-07-11	121
2025-07-14	110
2025-07-15	61
2025-07-16	92
2025-07-17	96
2025-07-18	99
2025-07-21	93
2025-07-22	96
2025-07-23	80
2025-07-24	97
2025-07-25	96
2025-07-28	96
2025-07-29	103
2025-07-30	80
2025-07-31	64
2025-08-01	111
2025-08-04	73
2025-08-05	103
2025-08-06	74
2025-08-07	94
2025-08-08	94
2025-08-11	69
2025-08-12	77
2025-08-13	68
2025-08-14	101
2025-08-15	103
2025-08-18	72
2025-08-19	95
2025-08-20	87
2025-08-21	100
2025-08-22	103
2025-08-25	90
2025-08-26	85
2025-08-27	74
2025-08-28	131
2025-08-29	92
2025-09-01	0
2025-09-02	107
2025-09-03	102
2025-09-04	62
2025-09-05	93
2025-09-08	106
2025-09-09	81
2025-09-10	103
2025-09-11	130
2025-09-12	109
2025-09-15	75
2025-09-16	107
2025-09-17	94
2025-09-18	76
2025-09-19	107
2025-09-22	93
2025-09-23	84
2025-09-24	70
2025-09-25	121
2025-09-26	89
2025-09-29	118
2025-09-30	129
2025-10-01	98
2025-10-02	155
2025-10-03	58
2025-10-06	6
2025-10-07	7
2025-10-08	4
2025-10-09	8
2025-10-10	8
2025-10-13	0
2025-10-14	4
2025-10-15	12
2025-10-16	9
2025-10-17	12
2025-10-20	15
2025-10-21	15
2025-10-22	9
2025-10-23	11
2025-10-24	4
2025-10-27	13
2025-10-28	11
2025-10-29	11
2025-10-30	22
2025-10-31	16
2025-11-03	18
2025-11-04	14
2025-11-05	10
2025-11-06	4
2025-11-07	17
2025-11-10	17
2025-11-11	0
2025-11-12	16
2025-11-13	22
2025-11-14	15
2025-11-17	106
2025-11-18	159
2025-11-19	92
2025-11-20	125
2025-11-21	115
2025-11-24	125
2025-11-25	94
2025-11-26	167
2025-11-27	0
2025-11-28	136
2025-12-01	101
2025-12-02	39
2025-12-03	65
2025-12-04	71
2025-12-05	93
2025-12-08	96
2025-12-09	77
2025-12-10	72
2025-12-11	117
2025-12-12	91
2025-12-15	111
2025-12-16	132
2025-12-17	121
2025-12-18	154
2025-12-19	157
2025-12-22	110
2025-12-23	137
2025-12-24	0
2025-12-25	0
2025-12-26	0
2025-12-29	117
2025-12-30	92
2025-12-31	94
